TIMESTAMP,REPORT_NAME,EXECUTION_TIME_IN_SECONDS,STATUS
2024-09-27 15:39:47,duk008,22,FAIL
2024-09-27 16:07:40,duk008,703,SUCCESS
2024-09-28 08:12:18,duk008_xls,736,SUCCESS
2024-09-28 08:23:52,duk008,691,SUCCESS
2024-09-29 08:14:13,duk008_xls,852,SUCCESS
2024-09-29 08:25:47,duk008,692,SUCCESS
2024-09-30 08:12:18,duk008_xls,737,SUCCESS
2024-09-30 08:23:51,duk008,690,SUCCESS
2024-10-01 08:13:04,duk008_xls,782,SUCCESS
2024-10-01 08:24:37,duk008,690,SUCCESS
2024-10-02 08:12:18,duk008_xls,736,SUCCESS
2024-10-02 08:23:53,duk008,692,SUCCESS
2024-10-03 08:13:12,duk008_xls,791,SUCCESS
2024-10-03 08:24:47,duk008,692,SUCCESS
2024-10-04 08:12:07,duk008_xls,725,SUCCESS
2024-10-04 08:23:40,duk008,691,SUCCESS
2024-10-05 08:14:02,duk008_xls,840,SUCCESS
2024-10-05 08:19:15,duk008,311,FAIL
2024-10-05 08:31:47,duk008,691,SUCCESS
2024-10-06 08:12:06,duk008_xls,725,SUCCESS
2024-10-06 08:23:39,duk008,691,SUCCESS
2024-10-07 08:05:11,duk008_xls,310,FAIL
2024-10-07 08:19:09,duk008_xls,777,SUCCESS
2024-10-07 08:25:58,duk008,406,FAIL
2024-10-07 08:33:46,duk008,407,FAIL
2024-10-07 08:41:46,duk008,419,FAIL
2024-10-07 08:49:33,duk008,406,FAIL
2024-10-07 09:02:05,duk008,690,SUCCESS
2024-10-08 08:12:19,duk008_xls,738,SUCCESS
2024-10-08 08:23:55,duk008,693,SUCCESS
2024-10-09 08:13:49,duk008_xls,827,SUCCESS
2024-10-09 08:25:36,duk008,705,SUCCESS
2024-10-09 16:55:25,accruals,21923,SUCCESS
2024-10-09 20:38:12,provision,13363,SUCCESS
2024-10-09 21:24:11,ic01,2755,SUCCESS
2024-10-10 08:12:07,duk008_xls,725,SUCCESS
2024-10-10 08:18:57,duk008,406,FAIL
2024-10-10 08:26:57,duk008,418,FAIL
2024-10-10 08:34:45,duk008,407,FAIL
2024-10-10 08:47:29,duk008,703,SUCCESS
2024-10-11 08:12:20,duk008_xls,738,SUCCESS
2024-10-11 08:23:43,duk008,681,SUCCESS
2024-10-12 08:12:31,duk008_xls,749,SUCCESS
2024-10-12 08:24:05,duk008,692,SUCCESS
2024-10-13 08:14:23,duk008_xls,861,SUCCESS
2024-10-13 08:25:56,duk008,691,SUCCESS
2024-10-14 08:12:30,duk008_xls,749,SUCCESS
2024-10-14 08:24:04,duk008,692,SUCCESS
2024-10-15 08:12:57,duk008_xls,775,SUCCESS
2024-10-15 08:24:41,duk008,701,SUCCESS
2024-10-16 08:12:17,duk008_xls,736,SUCCESS
2024-10-16 08:23:49,duk008,690,SUCCESS
2024-10-17 08:12:57,duk008_xls,775,SUCCESS
2024-10-17 08:25:19,duk008,739,SUCCESS
2024-10-18 08:12:17,duk008_xls,736,SUCCESS
2024-10-18 08:24:03,duk008,704,SUCCESS
2024-10-19 08:12:17,duk008_xls,736,SUCCESS
2024-10-19 08:23:50,duk008,690,SUCCESS
2024-10-20 08:12:20,duk008_xls,738,SUCCESS
2024-10-20 08:23:55,duk008,692,SUCCESS
2024-10-21 08:13:35,duk008_xls,814,SUCCESS
2024-10-21 08:25:08,duk008,690,SUCCESS
2024-10-22 08:12:17,duk008_xls,736,SUCCESS
2024-10-22 08:23:51,duk008,692,SUCCESS
2024-10-23 08:14:12,duk008_xls,851,SUCCESS
2024-10-23 08:25:56,duk008,701,SUCCESS
2024-10-24 08:12:18,duk008_xls,736,SUCCESS
2024-10-24 08:23:51,duk008,691,SUCCESS
2024-10-25 08:14:20,duk008_xls,858,SUCCESS
2024-10-25 08:25:53,duk008,691,SUCCESS
2024-10-26 08:12:18,duk008_xls,736,SUCCESS
2024-10-26 08:23:53,duk008,692,SUCCESS
2024-10-27 08:13:58,duk008_xls,837,SUCCESS
2024-10-27 08:25:33,duk008,692,SUCCESS
2024-10-28 08:12:29,duk008_xls,747,SUCCESS
2024-10-28 08:24:01,duk008,690,SUCCESS
2024-10-29 08:12:27,duk008_xls,746,SUCCESS
2024-10-29 08:15:39,duk008,189,FAIL
2024-10-29 08:28:47,duk008,727,SUCCESS
2024-10-30 08:12:09,duk008_xls,727,SUCCESS
2024-10-30 08:23:44,duk008,692,SUCCESS
2024-10-31 08:13:23,duk008_xls,801,SUCCESS
2024-10-31 08:24:56,duk008,690,SUCCESS
2024-11-01 08:12:18,duk008_xls,736,SUCCESS
